persona,weapon,rarity,cycleSeconds,cycleDamageBeforeMitigation,uninterruptedSingleTargetDPS,skillCooldownSeconds,skillKind,range
CrabKing,BoogieBoard,Unique,0.802,83.083,103.594,5.16,dash,11
CrabKing,BoogieBoard,Rare,0.802,73.496,91.641,5.52,dash,11
CrabKing,BoogieBoard,Common,0.802,63.91,79.688,6,dash,11
GatorHauler,BareHands,Legendary,1.0118,92.88,91.8,5.6,aoe,8
GatorHauler,BareHands,Unique,1.0118,80.496,79.56,6.02,aoe,8
GatorHauler,BareHands,Rare,1.0118,71.208,70.38,6.44,aoe,8
GatorHauler,BareHands,Common,1.0118,61.92,61.2,7,aoe,8
GatorHauler,FlipFlopSlap,Legendary,0.8798,100.427,114.148,5.6,aoe,9
GatorHauler,FlipFlopSlap,Unique,0.8798,87.036,98.928,6.02,aoe,9
GatorHauler,FlipFlopSlap,Rare,0.8798,76.994,87.513,6.44,aoe,9
GatorHauler,FlipFlopSlap,Common,0.8798,66.951,76.098,7,aoe,9
GatorHauler,LawnDart,Legendary,1.1903,129.219,108.559,5.6,aoe,22
GatorHauler,LawnDart,Unique,1.1903,111.99,94.085,6.02,aoe,22
GatorHauler,LawnDart,Rare,1.1903,99.068,83.229,6.44,aoe,22
GatorHauler,LawnDart,Common,1.1903,86.146,72.373,7,aoe,22
GatorHauler,GolfClub,Legendary,1.1242,115.519,102.759,5.6,aoe,12
GatorHauler,GolfClub,Unique,1.1242,100.117,89.057,6.02,aoe,12
GatorHauler,GolfClub,Rare,1.1242,88.565,78.782,6.44,aoe,12
GatorHauler,GolfClub,Common,1.1242,77.013,68.506,7,aoe,12
GatorHauler,GatorWrestleGloves,Legendary,1.2647,130.613,103.275,5.6,aoe,10
GatorHauler,GatorWrestleGloves,Unique,1.2647,113.197,89.505,6.02,aoe,10
GatorHauler,GatorWrestleGloves,Rare,1.2647,100.136,79.177,6.44,aoe,10
GatorHauler,GatorWrestleGloves,Common,1.2647,87.075,68.85,7,aoe,10
GatorHauler,RomanCandle,Legendary,1.0118,107.973,106.718,5.6,aoe,26
GatorHauler,RomanCandle,Unique,1.0118,93.577,92.489,6.02,aoe,26
GatorHauler,RomanCandle,Rare,1.0118,82.779,81.817,6.44,aoe,26
GatorHauler,RomanCandle,Common,1.0118,71.982,71.145,7,aoe,26
GatorHauler,SnakeLasso,Legendary,1.065,117.334,110.171,5.6,aoe,20
GatorHauler,SnakeLasso,Unique,1.065,101.689,95.481,6.02,aoe,20
GatorHauler,SnakeLasso,Rare,1.065,89.956,84.464,6.44,aoe,20
GatorHauler,SnakeLasso,Common,1.065,78.222,73.447,7,aoe,20
GatorHauler,SpillSkimmer,Legendary,0.9636,104.2,108.138,5.6,aoe,11
GatorHauler,SpillSkimmer,Unique,0.9636,90.306,93.719,6.02,aoe,11
GatorHauler,SpillSkimmer,Rare,0.9636,79.886,82.905,6.44,aoe,11
GatorHauler,SpillSkimmer,Common,0.9636,69.466,72.092,7,aoe,11
GatorHauler,PoolNoodle,Legendary,0.7783,89.107,114.492,5.6,aoe,14
GatorHauler,PoolNoodle,Unique,0.7783,77.226,99.226,6.02,aoe,14
GatorHauler,PoolNoodle,Rare,0.7783,68.315,87.777,6.44,aoe,14
GatorHauler,PoolNoodle,Common,0.7783,59.404,76.328,7,aoe,14
GatorHauler,CoolerLid,Legendary,0.9198,96.653,105.082,5.6,aoe,8
GatorHauler,CoolerLid,Unique,0.9198,83.766,91.071,6.02,aoe,8
GatorHauler,CoolerLid,Rare,0.9198,74.101,80.563,6.44,aoe,8
GatorHauler,CoolerLid,Common,0.9198,64.435,70.055,7,aoe,8
GatorHauler,BeachUmbrella,Legendary,1.1497,107.973,93.911,5.6,aoe,13
GatorHauler,BeachUmbrella,Unique,1.1497,93.577,81.39,6.02,aoe,13
GatorHauler,BeachUmbrella,Rare,1.1497,82.779,71.999,6.44,aoe,13
GatorHauler,BeachUmbrella,Common,1.1497,71.982,62.608,7,aoe,13
GatorHauler,FireExtinguisher,Legendary,1.0118,100.427,99.259,5.6,aoe,18
GatorHauler,FireExtinguisher,Unique,1.0118,87.036,86.024,6.02,aoe,18
GatorHauler,FireExtinguisher,Rare,1.0118,76.994,76.098,6.44,aoe,18
GatorHauler,FireExtinguisher,Common,1.0118,66.951,66.173,7,aoe,18
GatorHauler,TrafficCone,Legendary,0.9636,109.41,113.544,5.6,aoe,16
GatorHauler,TrafficCone,Unique,0.9636,94.822,98.405,6.02,aoe,16
GatorHauler,TrafficCone,Rare,0.9636,83.881,87.051,6.44,aoe,16
GatorHauler,TrafficCone,Common,0.9636,72.94,75.696,7,aoe,16
GatorHauler,KayakPaddle,Legendary,1.0118,111.746,110.447,5.6,aoe,12
GatorHauler,KayakPaddle,Unique,1.0118,96.847,95.721,6.02,aoe,12
GatorHauler,KayakPaddle,Rare,1.0118,85.672,84.676,6.44,aoe,12
GatorHauler,KayakPaddle,Common,1.0118,74.498,73.631,7,aoe,12
GatorHauler,BugZapper,Legendary,1.065,119.293,112.01,5.6,aoe,9
GatorHauler,BugZapper,Unique,1.065,103.387,97.076,6.02,aoe,9
GatorHauler,BugZapper,Rare,1.065,91.458,85.875,6.44,aoe,9
GatorHauler,BugZapper,Common,1.065,79.529,74.674,7,aoe,9
GatorHauler,WaterBalloonSling,Legendary,0.9198,96.653,105.082,5.6,aoe,24
GatorHauler,WaterBalloonSling,Unique,0.9198,83.766,91.071,6.02,aoe,24
GatorHauler,WaterBalloonSling,Rare,0.9198,74.101,80.563,6.44,aoe,24
GatorHauler,WaterBalloonSling,Common,0.9198,64.435,70.055,7,aoe,24
GatorHauler,ShoppingCart,Legendary,1.349,126.839,94.023,5.6,aoe,11
GatorHauler,ShoppingCart,Unique,1.349,109.927,81.487,6.02,aoe,11
GatorHauler,ShoppingCart,Rare,1.349,97.243,72.085,6.44,aoe,11
GatorHauler,ShoppingCart,Common,1.349,84.56,62.682,7,aoe,11
GatorHauler,PelicanBeakReplica,Legendary,1.0118,115.519,114.176,5.6,aoe,10
GatorHauler,PelicanBeakReplica,Unique,1.0118,100.117,98.953,6.02,aoe,10
GatorHauler,PelicanBeakReplica,Rare,1.0118,88.565,87.535,6.44,aoe,10
GatorHauler,PelicanBeakReplica,Common,1.0118,77.013,76.117,7,aoe,10
GatorHauler,OilBarrelLid,Legendary,1.2647,129.219,102.173,5.6,aoe,19
GatorHauler,OilBarrelLid,Unique,1.2647,111.99,88.55,6.02,aoe,19
GatorHauler,OilBarrelLid,Rare,1.2647,99.068,78.333,6.44,aoe,19
GatorHauler,OilBarrelLid,Common,1.2647,86.146,68.116,7,aoe,19
GatorHauler,TikiTorch,Legendary,1.0997,107.973,98.18,5.6,aoe,11
GatorHauler,TikiTorch,Unique,1.0997,93.577,85.089,6.02,aoe,11
GatorHauler,TikiTorch,Rare,1.0997,82.779,75.271,6.44,aoe,11
GatorHauler,TikiTorch,Common,1.0997,71.982,65.453,7,aoe,11
GatorHauler,Skateboard,Legendary,0.8431,104.2,123.586,5.6,aoe,10
GatorHauler,Skateboard,Unique,0.8431,90.306,107.108,6.02,aoe,10
GatorHauler,Skateboard,Rare,0.8431,79.886,94.749,6.44,aoe,10
GatorHauler,Skateboard,Common,0.8431,69.466,82.391,7,aoe,10
GatorHauler,FishSmack,Legendary,1.0118,111.746,110.447,5.6,aoe,9
GatorHauler,FishSmack,Unique,1.0118,96.847,95.721,6.02,aoe,9
GatorHauler,FishSmack,Rare,1.0118,85.672,84.676,6.44,aoe,9
GatorHauler,FishSmack,Common,1.0118,74.498,73.631,7,aoe,9
GatorHauler,NewspaperRoll,Legendary,0.8094,92.88,114.75,5.6,aoe,8
GatorHauler,NewspaperRoll,Unique,0.8094,80.496,99.45,6.02,aoe,8
GatorHauler,NewspaperRoll,Rare,0.8094,71.208,87.975,6.44,aoe,8
GatorHauler,NewspaperRoll,Common,0.8094,61.92,76.5,7,aoe,8
GatorHauler,NetGun,Legendary,1.1242,85.333,75.907,5.6,aoe,20
GatorHauler,NetGun,Unique,1.1242,73.956,65.786,6.02,aoe,20
GatorHauler,NetGun,Rare,1.1242,65.422,58.195,6.44,aoe,20
GatorHauler,NetGun,Common,1.1242,56.889,50.605,7,aoe,20
GatorHauler,SludgeHose,Legendary,1.1903,115.519,97.05,5.6,aoe,22
GatorHauler,SludgeHose,Unique,1.1903,100.117,84.11,6.02,aoe,22
GatorHauler,SludgeHose,Rare,1.1903,88.565,74.405,6.44,aoe,22
GatorHauler,SludgeHose,Common,1.1903,77.013,64.7,7,aoe,22
GatorHauler,FinaleRocket,Legendary,1.5566,168.838,108.469,5.6,aoe,30
GatorHauler,FinaleRocket,Unique,1.5566,146.327,94.006,6.02,aoe,30
GatorHauler,FinaleRocket,Rare,1.5566,129.443,83.159,6.44,aoe,30
GatorHauler,FinaleRocket,Common,1.5566,112.559,72.313,7,aoe,30
GatorHauler,HOAClipboard,Legendary,0.8798,100.427,114.148,5.6,aoe,8
GatorHauler,HOAClipboard,Unique,0.8798,87.036,98.928,6.02,aoe,8
GatorHauler,HOAClipboard,Rare,0.8798,76.994,87.513,6.44,aoe,8
GatorHauler,HOAClipboard,Common,0.8798,66.951,76.098,7,aoe,8
GatorHauler,BoogieBoard,Legendary,0.9636,107.973,112.053,5.6,aoe,11
GatorHauler,BoogieBoard,Unique,0.9636,93.577,97.113,6.02,aoe,11
GatorHauler,BoogieBoard,Rare,0.9636,82.779,85.908,6.44,aoe,11
GatorHauler,BoogieBoard,Common,0.9636,71.982,74.702,7,aoe,11
SnakeCharmer,BareHands,Legendary,0.4522,52.47,116.039,6.4,summon,8
SnakeCharmer,BareHands,Unique,0.4522,45.474,100.567,6.88,summon,8
SnakeCharmer,BareHands,Rare,0.4522,40.227,88.964,7.36,summon,8
SnakeCharmer,BareHands,Common,0.4522,34.98,77.36,8,summon,8
SnakeCharmer,FlipFlopSlap,Legendary,0.3932,58.671,149.216,6.4,summon,9
SnakeCharmer,FlipFlopSlap,Unique,0.3932,50.848,129.321,6.88,summon,9
